"path","type","bytes"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_conflict_report.csv","file","958"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_factor_resolution_report.md","file","1171"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_feature_catalog.csv","file","3499"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_feature_catalog_final.csv","file","4426"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_feature_importance.csv","file","20358"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_full_modeling","directory","296539458"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_impact_report.md","file","11349"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_interaction_map.csv","file","11161"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_join_audit.md","file","11837"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_model_comparison.csv","file","9374"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_model_metrics_long.csv","file","25841"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_monthly_clean.csv","file","16707"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_prediction_panel.csv","file","1424129"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_prediction_panel.parquet","file","586411"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_processed_test.parquet","file","4200497"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_processed_train.parquet","file","21783748"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_processed_valid.parquet","file","4179426"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_quarterly_clean.csv","file","2314"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_quarterly_rankic.csv","file","1943"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_sparse_coef.csv","file","26940"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_time_mapping_report.md","file","2091"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_time_parse_exceptions.csv","file","52"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_topk_performance_summary.csv","file","5050"
"C:\Users\10607\PycharmProjects\数据营销\outputs\macro_topk_portfolio_returns.csv","file","34940"
"C:\Users\10607\PycharmProjects\数据营销\outputs\model_ready_panel.parquet","file","9430735"
"C:\Users\10607\PycharmProjects\数据营销\outputs\model_ready_panel_with_macro.parquet","file","32595798"
"C:\Users\10607\PycharmProjects\数据营销\outputs\model_selection_report.md","file","3046"
"C:\Users\10607\PycharmProjects\数据营销\outputs\modeling_matrix_audit.md","file","1194"
"C:\Users\10607\PycharmProjects\数据营销\outputs\prediction_panel.csv","file","1204549"
"C:\Users\10607\PycharmProjects\数据营销\outputs\prediction_panel.parquet","file","473099"
"C:\Users\10607\PycharmProjects\数据营销\outputs\preprocess_config.json","file","68199"
"C:\Users\10607\PycharmProjects\数据营销\outputs\preprocess_strategy_table.csv","file","18846"
"C:\Users\10607\PycharmProjects\数据营销\outputs\preprocessed_panel_baseline.parquet","file","10225793"
"C:\Users\10607\PycharmProjects\数据营销\outputs\preprocessing_fit_scope_report.md","file","7757"
"C:\Users\10607\PycharmProjects\数据营销\outputs\preprocessing_postcheck_report.md","file","7975"
"C:\Users\10607\PycharmProjects\数据营销\outputs\problem_summary.csv","file","4554"
"C:\Users\10607\PycharmProjects\数据营销\outputs\problem_summary.md","file","7278"
"C:\Users\10607\PycharmProjects\数据营销\outputs\processed_test.parquet","file","1195905"
"C:\Users\10607\PycharmProjects\数据营销\outputs\processed_train.parquet","file","6007915"
"C:\Users\10607\PycharmProjects\数据营销\outputs\processed_valid.parquet","file","1198887"
"C:\Users\10607\PycharmProjects\数据营销\outputs\project_inventory.json","file","7518"
"C:\Users\10607\PycharmProjects\数据营销\outputs\promethee_diagnostics.md","file","15169"
"C:\Users\10607\PycharmProjects\数据营销\outputs\promethee_input_audit.md","file","794"
"C:\Users\10607\PycharmProjects\数据营销\outputs\promethee_input_with_scale.csv","file","17547312"
"C:\Users\10607\PycharmProjects\数据营销\outputs\promethee_input_without_scale.csv","file","15973036"
"C:\Users\10607\PycharmProjects\数据营销\outputs\promethee_scores_with_scale.csv","file","4446880"
"C:\Users\10607\PycharmProjects\数据营销\outputs\promethee_scores_without_scale.csv","file","4569204"
"C:\Users\10607\PycharmProjects\数据营销\outputs\quarterly_rankic.csv","file","1510"
"C:\Users\10607\PycharmProjects\数据营销\outputs\rankic_summary.md","file","1028"
"C:\Users\10607\PycharmProjects\数据营销\outputs\ranking_backtest_report.md","file","2130"
"C:\Users\10607\PycharmProjects\数据营销\outputs\rating_distribution.csv","file","1814"
"C:\Users\10607\PycharmProjects\数据营销\outputs\rating_effectiveness.csv","file","9647"
"C:\Users\10607\PycharmProjects\数据营销\outputs\rating_report.md","file","851"
"C:\Users\10607\PycharmProjects\数据营销\outputs\rating_table.csv","file","4688487"
"C:\Users\10607\PycharmProjects\数据营销\outputs\sparse_baseline_coef.csv","file","7105"
"C:\Users\10607\PycharmProjects\数据营销\outputs\sparse_baseline_metrics.csv","file","3044"
"C:\Users\10607\PycharmProjects\数据营销\outputs\sparse_baseline_report.md","file","3499"
"C:\Users\10607\PycharmProjects\数据营销\outputs\split_manifest.csv","file","133"
"C:\Users\10607\PycharmProjects\数据营销\outputs\stock_column_mapping.csv","file","1374"
"C:\Users\10607\PycharmProjects\数据营销\outputs\stock_conversion_log.csv","file","3441"
"C:\Users\10607\PycharmProjects\数据营销\outputs\stock_panel_run_summary.json","file","1560"
"C:\Users\10607\PycharmProjects\数据营销\outputs\stock_schema_audit.csv","file","88388"
"C:\Users\10607\PycharmProjects\数据营销\outputs\stock_sheet_summary.csv","file","1042"
"C:\Users\10607\PycharmProjects\数据营销\outputs\task_requirements.md","file","3627"
"C:\Users\10607\PycharmProjects\数据营销\outputs\temporal_split_assertion.md","file","621"
"C:\Users\10607\PycharmProjects\数据营销\outputs\topk_performance_summary.csv","file","3423"
"C:\Users\10607\PycharmProjects\数据营销\outputs\topk_portfolio_returns.csv","file","26325"
"C:\Users\10607\PycharmProjects\数据营销\outputs\turnover_report.csv","file","2410"
"C:\Users\10607\PycharmProjects\数据营销\outputs\visual_report.ipynb","file","87403"
"C:\Users\10607\PycharmProjects\数据营销\outputs\visual_report_generation_log.md","file","291"
"C:\Users\10607\PycharmProjects\数据营销\run.bat","file","60"
"C:\Users\10607\PycharmProjects\数据营销\scripts\__pycache__","directory","307596"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_backtest_and_report.py","file","17253"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_build_time_splits.py","file","14361"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_composite_promethee_rating.py","file","44633"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_feature_pipeline.py","file","31273"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_macro_augmented_modeling.py","file","30273"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_macro_full_training.py","file","27426"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_modeling_from_p0_closure.py","file","28415"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_ranking_backtest_from_p1_results.py","file","18540"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_scoring_layer_entropy_promethee.py","file","23053"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_train_gbdt_models.py","file","31554"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_train_rankers.py","file","26980"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p1_train_sparse_baseline.py","file","27776"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p2_explainability_and_extensions.py","file","24405"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p2_model_registry_and_artifacts.py","file","14635"
"C:\Users\10607\PycharmProjects\数据营销\scripts\p2_monitoring_and_retrain_rules.py","file","22855"
"C:\Users\10607\PycharmProjects\数据营销\scripts\大数据决策-期末大作业.zip","file","12020236"
"C:\Users\10607\PycharmProjects\数据营销\stock_ml_promethee_report.pptx","file","2661559"
